invariant,ppt,iteration,mutant
"FuzzedInvariant ( Integer_Variable in List.*(next).x ) holds for: <this , DataStructures.List.SENTINEL>","DataStructures.List.List(int, DataStructures.List):::EXIT22",1,daikon-outputs/mutants/ListTesterDriver-m1.dtrace.gz
this.x == 0 || this.x == 2147483647,DataStructures.List.List():::EXIT,1,daikon-outputs/mutants/ListTesterDriver-m1.dtrace.gz
FuzzedInvariant:List.x != #(List.^(next)),DataStructures.List.List():::EXIT26,1,daikon-outputs/mutants/ListTesterDriver-m1.dtrace.gz
FuzzedInvariant:#(List.*(next)) <= List.x,DataStructures.List.List():::EXIT26,1,daikon-outputs/mutants/ListTesterDriver-m1.dtrace.gz
FuzzedInvariant:List.x != #(List.^(next)) + #(List.^(next)),DataStructures.List.List():::EXIT26,1,daikon-outputs/mutants/ListTesterDriver-m1.dtrace.gz
FuzzedInvariant:#(List.^(next)) < List.x,DataStructures.List.List():::EXIT26,1,daikon-outputs/mutants/ListTesterDriver-m1.dtrace.gz
FuzzedInvariant:List.x > List.x + List.x,DataStructures.List.List():::EXIT26,1,daikon-outputs/mutants/ListTesterDriver-m1.dtrace.gz
"FuzzedInvariant ( List.x > List.x - Integer_Variable ) holds for: <this , this.x>",DataStructures.List.List():::EXIT26,1,daikon-outputs/mutants/ListTesterDriver-m1.dtrace.gz
"FuzzedInvariant ( List.x > #(List.*(next)) - Integer_Variable ) holds for: <this , this.x>",DataStructures.List.List():::EXIT26,1,daikon-outputs/mutants/ListTesterDriver-m1.dtrace.gz
"FuzzedInvariant ( #(List.^(next)) != Integer_Variable ) holds for: <this , this.x>",DataStructures.List.List():::EXIT26,1,daikon-outputs/mutants/ListTesterDriver-m1.dtrace.gz
"FuzzedInvariant ( #(List.*(next)) < Integer_Variable ) holds for: <this , this.x>",DataStructures.List.List():::EXIT26,1,daikon-outputs/mutants/ListTesterDriver-m1.dtrace.gz
"FuzzedInvariant ( Integer_Variable in List.*(next).x ) holds for: <this , DataStructures.List.SENTINEL>",DataStructures.List.List():::EXIT26,1,daikon-outputs/mutants/ListTesterDriver-m1.dtrace.gz
"FuzzedInvariant ( List.x = Integer_Variable ) holds for: <this , DataStructures.List.SENTINEL>",DataStructures.List.List():::EXIT26,1,daikon-outputs/mutants/ListTesterDriver-m1.dtrace.gz
this.x == 0 || this.x == 2147483647,DataStructures.List.List():::EXIT26,1,daikon-outputs/mutants/ListTesterDriver-m1.dtrace.gz
